0 0 0
0 1 0
0 1.9 0
0 2.5 0
0 3.8 0
0 4 0
0 5 0
0 0 0.7
0 1 0.7
0 1.9 0.7
0 2.5 0.7
0 3.8 0.7
0 4 0.7
0 5 0.7
0 0 1.7
0 1 1.7
0 1.9 1.7
0 2.5 1.7
0 3.8 1.7
0 4 1.7
0 5 1.7
0 0 2
0 1 2
0 1.9 2
0 2.5 2
0 3.8 2
0 4 2
0 5 2
0 0 2.3
0 1 2.3
0 1.9 2.3
0 2.5 2.3
0 3.8 2.3
0 4 2.3
0 5 2.3
0 0 2.9
0 1 2.9
0 1.9 2.9
0 2.5 2.9
0 3.8 2.9
0 4 2.9
0 5 2.9
0 0 3
0 1 3
0 1.9 3
0 2.5 3
0 3.8 3
0 4 3
0 5 3
1 1 2 8 
1 2 8 9 
1 2 3 9 
1 3 9 10 
1 3 4 11 
1 3 10 11 
1 4 5 12 
1 4 11 12 
1 5 6 13 
1 5 12 13 
1 6 7 14 
1 6 13 14 
1 8 9 16 
1 8 15 16 
1 9 10 16 
1 10 16 17 
1 10 11 17 
1 11 17 18 
1 11 12 18 
1 12 18 19 
1 12 13 20 
1 12 19 20 
1 13 14 20 
1 14 20 21 
1 15 16 23 
1 15 22 23 
1 16 17 23 
1 17 23 24 
1 17 18 25 
1 17 24 25 
1 18 19 26 
1 18 25 26 
1 19 20 26 
1 20 26 27 
1 20 21 27 
1 21 27 28 
1 22 23 29 
1 23 29 30 
1 23 24 31 
1 23 30 31 
1 24 25 32 
1 24 31 32 
1 25 26 33 
1 25 32 33 
1 26 27 34 
1 26 33 34 
1 27 28 34 
1 28 34 35 
1 29 30 36 
1 30 36 37 
1 30 31 37 
1 31 37 38 
1 31 32 39 
1 31 38 39 
1 32 33 39 
1 33 39 40 
1 33 34 41 
1 33 40 41 
1 34 35 42 
1 34 41 42 
1 36 37 44 
1 36 43 44 
1 37 38 44 
1 38 44 45 
1 38 39 46 
1 38 45 46 
1 39 40 46 
1 40 46 47 
1 40 41 47 
1 41 47 48 
1 41 42 48 
1 42 48 49 
